,evaluation,score
143,partially_solved_crossword_clues,0.03699895013062225
144,path_enclosed_area,0.012265577083352297
145,ph_calculation,0.016473439841437697
146,physics-interaction,0.04077769354381124
147,poker_analysis,0.0025791964090588816
148,polish-lexicon,0.5
149,polish-proverbs,0.20525217932752177
150,polish-syllable-count,0.007076777567597647
151,polish_rhymes_generation,0.09151767936898411
152,population_span_extraction,0.1608823373101896
153,portuguese-sarcasm,0.2
154,portuguese-syllable-count,0.007700311009848193
155,positive-binary-operations,0.00613904892100382
156,premature-conclusions,0.02937951591997241
157,probabilities-word-problems,0.036103334356000306
158,prompt-injection,0.3954641439528136
159,proofreader,0.07893652077348672
160,python_list_comprehension,0.005683420273678741
161,quartz,0.003264036838161255
162,ral_to_hex,0.019166666666666665
163,rare-and-loanwords-dutch-lexicon,0.2
164,reasoning_with_contradictory_statements,0.0009185507117266178
165,rectangles,0.6
166,recurrence-relation,0.009072785129569716
167,regex-match,0.4088726498465497
168,relative_orientations,0.045161141624050695
169,resistor_ohm_calculator,0.009282404372103648
170,resource_id_extraction,0.08723324695838419
171,reverse-shell,0.003519345230337667
172,reverse-sort-words-eng,0.33070987944588237
173,rhetorical_devices,0.03381856988569158
174,rock-climbing,0.13771753797886202
175,romanian_homonyms,0.20485248349720336
176,rubiks-colors,0.0
177,sarcasm,0.004056865464632453
178,seating_arrangements,0.14172264618814895
179,security_guide,0.1912063076010549
180,seo_keywords,0.06781319783147396
181,shared_border,0.23210103854082859
182,shopping_discount_comparison,0.8833333333333332
183,simple-charting,0.009135758934866489
184,simple_physics_engine,0.02830590506454881
185,singlestore-vectorsearch,0.08903043917544155
186,smiles_to_formula,0.00626559632950409
187,soc_codes,0.09528612736800997
188,solve-for-variable,0.005705713364271137
189,sort_numeric,0.2266176646942523
190,spanish-lexicon,0.4
191,spanish_feminine_noun_masculine_article,0.005358367307238409
192,stats-tests,0.003913985826859668
193,superficialpatterns,0.2079139218294431
194,svg_alphabet,0.0036304027390452022
195,svg_to_text,0.003173663202134902
196,svg_understanding,0.07741364591195041
197,swap-words,0.25465899529976604
198,swedish-spelling,0.08212093184407143
199,syntax-check,0.23999763811854602
200,taxes,0.005499999999999994
201,tempo_to_measure_count,0.005112004365867462
202,test_english_pronunciations,0.5999999999999999
203,test_fuzzy_match,0.05606194690265487
204,track_objects,0.08749878398754804
205,tracking-shuffled-objects,0.22035714285714278
206,tricky-word-problems,0.00868837094869369
207,turkish_characters,0.004348196142899607
208,unified_patch,0.3890452366236096
209,unique_combinations,0.023379389361341964
210,unwanted-rhyming,0.0017627926338761757
211,us_tort_law,0.000785711370025588
212,utah_real_estate,0.032272898448299295
213,utility_price_parsing,0.48315874323574076
214,viewport_to_grid_size,0.006875745969446201
215,vigenere,0.058727360917866546
216,vintage_phone_keyboard_decode,0.0017982605148301523
217,wkt_understanding,0.09178083105449208
