,evaluation,score
87,gregorian-to-hebrew-date,0.48092561360854036
88,heart-disease,0.4
89,illinois-law,0.01050143263360014
90,imperial_date_to_string,0.9846153846153847
91,integer-sequence-predictions,0.29357142857142854
92,internal_representations,0.65
93,invoice_due_date_leap_day_adjustment,0.9653846153846155
94,irish_plural_nouns,0.7368360805860806
95,isosceles-right-triangle,0.03285256768460091
96,italian-new-words,0.8
97,italian_big_math_expression,0.07677370071316861
98,italian_rhyme,0.9
99,japanese_mahjong_discard_tile,0.0024350775844701688
100,json_patch_object,0.8317257318952235
101,largest_country,0.5757407407407408
102,last_word_nth,0.16955128205128206
103,latin_grammar,0.7752236652236653
104,linear-regression,0.01199940108402151
105,linear_equations,0.7682370129870129
106,list_comparison_missing_name,0.25553199251728664
107,logic,0.32834625779026355
108,logic-container,0.13324772926165193
109,logic-liar-paradox,0.2904682433438297
110,logical-black-scholes,0.007258915434143742
111,logical_counting,0.19166666666666668
112,logical_reasoning_letter_series_test,0.006007821446263573
113,loss_logic,0.3612324543714301
114,mandaliof-table,0.45
115,map-electronic-component-part-to-fact,0.10320249221183801
116,mapping_to_matricies,0.06449018331522027
117,mate-in-one,0.7333333333333335
118,math_for_5th-grader,0.007445334963580652
119,math_logic_operations,0.004803151232191527
120,math_polish,0.3794498834498834
121,matrix_mult_rows,0.4
122,medication_dose,0.4437625313283208
123,mendelian_inheritance,0.7471270011239425
124,missing_operators,0.6314241486068111
125,monthly_metric_comparison,0.2528863748204051
126,moral_exceptQA,0.9
127,multi-step-equations,0.45
128,multistep-word-problems,0.1768627450980392
129,music_theory_scale_modes,0.12685337039488276
130,naughty_strings,0.4000000000000001
131,ner_finance,0.09895733447831698
132,newsology,0.5449999999999999
133,nfl-point-combinations,0.0018484752302270868
134,norwegian-lexicon,0.3
135,norwegian-rhymes,0.5
136,number_series_test,0.004518475588939741
137,numbers_game,0.08389111791712406
138,numeral-type-comparisons,0.058727981788326625
139,ordered-history-events,0.011331540983889476
140,ordering_randomised_versionlist,0.015458928454824683
141,override-system-instruction,0.1014203360260932
142,pantone_to_hex,0.04195402298850574
143,partially_solved_crossword_clues,0.7226190476190476
144,path_enclosed_area,0.008850845232268045
145,ph_calculation,0.43333333333333346
146,physics-interaction,0.6000000000000001
147,poker_analysis,0.3
148,polish-lexicon,0.5
149,polish-proverbs,0.8017857142857142
150,polish-syllable-count,0.1
151,polish_rhymes_generation,0.15829725829725827
152,population_span_extraction,0.22979870784321496
153,portuguese-sarcasm,0.3
154,portuguese-syllable-count,0.30488095238095236
155,positive-binary-operations,0.16255530129672008
156,premature-conclusions,0.4945346320346321
157,probabilities-word-problems,0.0023978495256033903
158,prompt-injection,0.6774290940744667
159,proofreader,0.3646672294908645
160,python_list_comprehension,0.4666666666666667
161,quartz,0.05045893719806764
162,ral_to_hex,0.0659006211180124
163,rare-and-loanwords-dutch-lexicon,0.8
164,reasoning_with_contradictory_statements,0.0011706511665415475
165,rectangles,0.6
166,recurrence-relation,0.006340109128190041
167,regex-match,0.6024193548387097
168,relative_orientations,0.06514395826864273
169,resistor_ohm_calculator,0.27675685425685426
170,resource_id_extraction,0.22125404065863177
171,reverse-shell,0.004963269133551096
172,reverse-sort-words-eng,0.8023273762299258
173,rhetorical_devices,0.22958731758612635
174,rock-climbing,0.6693121693121693
175,romanian_homonyms,0.4
176,rubiks-colors,0.3
177,sarcasm,0.6
178,seating_arrangements,0.25925532162457265
179,security_guide,0.2819065516682986
180,seo_keywords,0.1732929074369403
181,shared_border,0.47315003523901394
182,shopping_discount_comparison,0.9166666666666666
183,simple-charting,0.013891330362209043
184,simple_physics_engine,0.03771584264286988
185,singlestore-vectorsearch,0.12764655274139008
186,smiles_to_formula,0.01205438388932203
187,soc_codes,0.2008531524272609
188,solve-for-variable,0.059621370427340704
189,sort_numeric,0.384210479613185
190,spanish-lexicon,0.4
191,spanish_feminine_noun_masculine_article,0.16666666666666669
192,stats-tests,0.4045454545454545
193,superficialpatterns,0.35764324218844934
194,svg_alphabet,0.005905841719843663
195,svg_to_text,0.021244492942606143
196,svg_understanding,0.11526729559748428
197,swap-words,0.7227777777777779
198,swedish-spelling,0.9
199,syntax-check,0.689922480620155
200,taxes,0.3
201,tempo_to_measure_count,0.08999999999999998
202,test_english_pronunciations,0.3
203,test_fuzzy_match,0.19609644087256023
204,track_objects,0.3
205,tracking-shuffled-objects,0.19999999999999998
206,tricky-word-problems,0.011307598991059787
207,turkish_characters,0.18841991341991343
208,unified_patch,0.6577313318943088
209,unique_combinations,0.008891713403104129
210,unwanted-rhyming,0.0019806611560158173
211,us_tort_law,0.007894356551928517
212,utah_real_estate,0.549253054381421
213,utility_price_parsing,0.9584090909090911
214,viewport_to_grid_size,0.00809489569838231
215,vigenere,0.18314810507052987
216,vintage_phone_keyboard_decode,0.27999999999999997
217,wkt_understanding,0.93
